"Story","Title","Result","Date","Stability","Duration (s)"
"Add applications","Adding a new contact","SUCCESS","2015-02-26T18:03:56.480Z","0.0","12.5"
"Add applications","Deleting contact","SUCCESS","2015-02-26T18:04:09.128Z","0.0","2.45"
